Names	wAge	hAge	wHeight	hHeight
John and Judy	43	49	1590	1809
Carl and Kathryn	28	25	1560	1841
Craig and Jackie	30	40	1620	1659
Larry and Susan	57	52	1540	1779
Scott and Susan	52	58	1420	1616
John and Margaret	27	32	1660	1695
Stanley and Patricia	52	43	1610	1730
David and Lisa	*	42	1635	1753
Robert and Cathy	43	47	1580	1740
Larry and Karen	23	31	1610	1685
Steven and Candice	25	26	1590	1735
Joseph and Lesley	39	40	1610	1713
Eric and Ethel	32	35	1700	1736
David and Paula	*	45	1522	1715
David and Kelly	35	35	1680	1799
Kenneth and Hope	33	35	1680	1785
Tim and Melanie	43	47	1630	1758
Gary and Sandra	35	38	1570	1729
Jeff and Lisa	32	33	1720	1720
Raymond and Linda	30	32	1740	1810
Cameron and Susan	40	38	1600	1725
Phillip and Beth	*	45	1689	1764
Eugene and Susan	29	29	1600	1683
Daniel and Regina	55	59	1550	1585
Jamie and Marjorie	25	26	1540	1684
James and Elaine	45	50	1640	1674
Steven and Jennifer	44	49	1640	1724
Craig and Lynn	40	42	1630	1630
Keith and Kristen	31	33	1560	1855
Malcolm and Heather	*	31	1652	1796
Robert and Stephanie	25	27	1580	1700
Tom and Marie	51	57	1570	1765
Steven and Kathleen	31	34	1590	1700
Eric and Lois	25	28	1650	1721
Bruce and Kathryn	*	46	1591	1823
John and Martha	35	37	1670	1829
John and Teresa	55	56	1600	1710
David and Maureen	23	27	1610	1745
Glen and Linda	35	36	1610	1698
Ronald and Susan	28	31	1670	1853
William and Cheryl	52	57	1510	1610
Donald and Karen	53	55	1520	1680
James and Susan	43	47	1620	1809
Michael and Joyce	61	64	1530	1580
John and Delores	*	60	1451	1600
David and Juliet	23	31	1570	1585
Joseph and Lillian	35	35	1580	1705
Michael and Jennifer	35	36	1590	1675
Mark and Victoria	39	40	1670	1735
Kenneth and Patricia	24	30	1630	1686
Roger and Anne				
Roy and Sharon	29	32	1510	1768
Albert and Nancy	*	27	1560	1721
William and Jill	21	20	1660	1754
Harry and Elizabeth	39	45	1610	1739
George and Sandra	52	59	1440	1699
Kevin an Lorraine	52	43	1570	1825
Gary and Joanne	26	29	1670	1740
Gary and Rhonda	*	48	1635	1704
Melvin and Harriet	*	39	1670	1719
Michael and Heather	48	47	1730	1731
Joseph and Elizabeth				
Geoffrey and Ann	53	54	1560	1679
Patrick and Judith	42	43	1590	1755
Scott and Tracy	50	54	1600	1713
Stuart and Virginia	64	61	1490	1723
Stanley and Donna	26	27	1660	1783
Charles and Beth	*	51	1504	1585
Edward and Gladys	32	27	1580	1749
Joe and Audrey	31	32	1500	1710
Rodney and Laura	53	54	1640	1724
John and Diane	39	37	1650	1620
Norman and Theresa	45	55	1620	1764
Richard and Amy	33	36	1550	1791
Jack and Jennifer	32	32	1640	1795
Robert and Hazel	55	57	1560	1738
Roy and Connie	*	51	1552	1639
George and Mary	*	62	1600	1734
Robert and Doris	*	57	1545	1695
William and Pamela	52	51	1570	1666
Charles and Florence	50	50	1550	1745
Eric and Kay	32	32	1600	1775
Edward and Elaine	54	54	1660	1669
Ken and Ruth	32	34	1640	1700
David and Wilma	41	45	1670	1804
Stanley and Donna	61	64	1560	1700
Dennis and Ann	43	55	1760	1664
David and Lynne	28	27	1640	1753
Jack and Andrea	51	55	1600	1788
Albert and Brenda	*	27	1571	1765
Doug and Cheryl	41	41	1550	1680
George and Helen	41	44	1570	1715
Robert and Pamela	21	22	1590	1755
Kevin and Carol	28	30	1650	1764
Charles and Doris	47	53	1690	1793
Herbert and Jessica	37	42	1580	1731
Peter and Patricia	28	31	1590	1713
Donald and Ellen	35	36	1510	1725
John and Bonny	55	56	1600	1828
Richard and Maureen	45	46	1660	1735
Nathan and Jane	34	34	1700	1760
Donald and Edith	51	55	1530	1685
Fred and Darla	39	44	1490	1685
Dennis and Kathleen	35	45	1580	1559
Gary and Jean	45	48	1500	1705
James and Lisa	44	44	1600	1723
Jeff and Karen	47	59	1570	1700
